date,description,amount,category,merchant
2025-08-15,BESCOM electricity bill,1089.65,bills,BESCOM
2025-08-16,BigBasket monthly grocery,1061.92,shopping,BigBasket
2025-08-17,Netflix subscription,990.3,entertainment,Netflix
2025-08-18,BMTC bus pass monthly,292.61,transport,BMTC
2025-08-19,Metro Namma Bengaluru,298.84,transport,Metro
2025-08-20,PVR Gold movie ticket,245.18,entertainment,PVR
2025-08-21,Reliance Trends shirt,1147.73,shopping,Reliance
2025-08-22,BigBasket groceries,274.45,food,BigBasket
2025-08-23,BESCOM electricity bill,2201.47,bills,BESCOM
2025-08-24,Spotify Premium,484.11,entertainment,Spotify
2025-08-25,PVR Gold movie ticket,634.69,entertainment,PVR
2025-08-26,PVR Gold movie ticket,667.85,entertainment,PVR
2025-08-27,PVR Gold movie ticket,813.4,entertainment,PVR
2025-08-28,Starbucks coffee,427.72,food,Starbucks
2025-08-29,BESCOM electricity bill,1395.2,bills,BESCOM
2025-08-30,Domino's pasta,246.11,food,Domino's
2025-08-31,Udemy data science course,1393.87,technology,Udemy
2025-09-01,Ola cab airport drop,218.84,transport,Ola
2025-09-02,McDonald's Big Mac,350.41,food,McDonald's
2025-09-03,Auto rickshaw Marathahalli,289.22,transport,Auto
2025-09-04,Spotify Premium,1278.78,entertainment,Spotify
2025-09-05,BWSSB water charges,1979.39,bills,BWSSB
2025-09-06,BESCOM electricity bill,1721.34,bills,BESCOM
2025-09-07,Local restaurant lunch,347.39,food,Local
2025-09-08,Uber to office Koramangala,270.13,transport,Uber
2025-09-09,Auto rickshaw Marathahalli,219.81,transport,Auto
2025-09-10,Flipkart tshirt sale,686.39,shopping,Flipkart
2025-09-11,Local restaurant lunch,463.68,food,Local
2025-09-12,Zomato pizza delivery,248.01,food,Zomato
2025-09-13,BigBasket groceries,411.97,food,BigBasket
2025-09-14,Auto rickshaw Marathahalli,275.01,transport,Auto
2025-09-15,Metro Namma Bengaluru,305.54,transport,Metro
2025-09-16,Flipkart tshirt sale,1171.95,shopping,Flipkart
2025-09-17,Tea stall chai,335.23,food,Tea
2025-09-18,Myntra shoes delivery,1151.77,shopping,Myntra
2025-09-19,Metro Namma Bengaluru,329.41,transport,Metro
2025-09-20,Reliance Trends shirt,1086.63,shopping,Reliance
2025-09-21,Swiggy order biryani,334.14,food,Swiggy
2025-09-22,Airtel broadband,2001.43,bills,Airtel
2025-09-23,BigBasket groceries,123.32,food,BigBasket
2025-09-24,Udemy data science course,968.11,technology,Udemy
2025-09-25,Reliance Trends shirt,939.61,shopping,Reliance
2025-09-26,Shell petrol Whitefield,336.73,transport,Shell
2025-09-27,Udemy data science course,1097.66,technology,Udemy
2025-09-28,Zomato pizza delivery,330.28,food,Zomato
2025-09-29,BigBasket monthly grocery,933.01,shopping,BigBasket
2025-09-30,Starbucks coffee,325.78,food,Starbucks
2025-10-01,Swiggy order biryani,189.51,food,Swiggy
2025-10-02,Shell petrol Whitefield,285.04,transport,Shell
2025-10-03,BESCOM electricity bill,1976.76,bills,BESCOM
2025-10-04,Myntra shoes delivery,940.03,shopping,Myntra
2025-10-05,Local restaurant lunch,324.07,food,Local
2025-10-06,Udemy data science course,1426.01,technology,Udemy
2025-10-07,Google Play Pro apps,1754.27,technology,Google
2025-10-08,Hotstar IPL match,1008.19,entertainment,Hotstar
2025-10-09,Myntra shoes delivery,745.26,shopping,Myntra
2025-10-10,BigBasket monthly grocery,857.91,shopping,BigBasket
2025-10-11,BigBasket monthly grocery,1282.27,shopping,BigBasket
2025-10-12,Myntra shoes delivery,277.23,shopping,Myntra
2025-10-13,Flipkart tshirt sale,1515.98,shopping,Flipkart
2025-10-14,Zomato pizza delivery,566.45,food,Zomato
2025-10-15,Amazon laptop accessories,847.38,shopping,Amazon
2025-10-16,McDonald's Big Mac,70.57,food,McDonald's
2025-10-17,Tea stall chai,377.9,food,Tea
2025-10-18,Tea stall chai,397.66,food,Tea
2025-10-19,Udemy data science course,1629.83,technology,Udemy
2025-10-20,Starbucks coffee,351.79,food,Starbucks
2025-10-21,Flipkart tshirt sale,1022.93,shopping,Flipkart
2025-10-22,Uber to office Koramangala,331.45,transport,Uber
2025-10-23,Shell petrol Whitefield,347.45,transport,Shell
2025-10-24,Uber to office Koramangala,245.5,transport,Uber
2025-10-25,Netflix subscription,410.78,entertainment,Netflix
2025-10-26,Shell petrol Whitefield,253.74,transport,Shell
2025-10-27,Shell petrol Whitefield,342.49,transport,Shell
2025-10-28,Spotify Premium,853.86,entertainment,Spotify
2025-10-29,Netflix subscription,456.36,entertainment,Netflix
2025-10-30,Auto rickshaw Marathahalli,329.75,transport,Auto
2025-10-31,Tea stall chai,343.15,food,Tea
2025-11-01,PVR Gold movie ticket,781.62,entertainment,PVR
2025-11-02,Jio mobile recharge,1804.59,bills,Jio
2025-11-03,BWSSB water charges,1549.05,bills,BWSSB
2025-11-04,BMTC bus pass monthly,112.13,transport,BMTC
2025-11-05,Flipkart tshirt sale,813.17,shopping,Flipkart
2025-11-06,Myntra shoes delivery,686.83,shopping,Myntra
2025-11-07,Spotify Premium,395.26,entertainment,Spotify
2025-11-08,Shell petrol Whitefield,366.35,transport,Shell
2025-11-09,Jio mobile recharge,1926.38,bills,Jio
2025-11-10,Myntra shoes delivery,1127.93,shopping,Myntra
2025-11-11,BWSSB water charges,1399.76,bills,BWSSB
2025-11-12,Nandhana Palace dinner,360.26,food,Nandhana
2025-11-13,Flipkart tshirt sale,892.83,shopping,Flipkart
2025-11-14,Tea stall chai,288.76,food,Tea
2025-11-15,Swiggy order biryani,367.64,food,Swiggy
2025-11-16,Auto rickshaw Marathahalli,329.27,transport,Auto
2025-11-17,Uber to office Koramangala,514.66,transport,Uber
2025-11-18,Amazon laptop accessories,807.84,shopping,Amazon
2025-11-19,BigBasket groceries,42.33,food,BigBasket
2025-11-20,Airtel broadband,2359.04,bills,Airtel
2025-11-21,Flipkart tshirt sale,792.55,shopping,Flipkart
2025-11-22,Swiggy order biryani,303.39,food,Swiggy
2025-11-23,Flipkart tshirt sale,738.35,shopping,Flipkart
2025-11-24,Coursera ML certificate,1342.42,technology,Coursera
2025-11-25,Tea stall chai,395.93,food,Tea
2025-11-26,Starbucks coffee,312.74,food,Starbucks
2025-11-27,Local restaurant lunch,461.16,food,Local
2025-11-28,Tea stall chai,293.17,food,Tea
2025-11-29,Swiggy order biryani,379.51,food,Swiggy
2025-11-30,Nandhana Palace dinner,361.14,food,Nandhana
2025-12-01,Starbucks coffee,96.66,food,Starbucks
2025-12-02,Starbucks coffee,214.12,food,Starbucks
2025-12-03,BMTC bus pass monthly,366.79,transport,BMTC
2025-12-04,Shell petrol Whitefield,279.28,transport,Shell
2025-12-05,Jio mobile recharge,1555.53,bills,Jio
2025-12-06,Shell petrol Whitefield,335.0,transport,Shell
2025-12-07,BWSSB water charges,1068.51,bills,BWSSB
2025-12-08,Uber to office Koramangala,374.16,transport,Uber
2025-12-09,Tea stall chai,271.18,food,Tea
2025-12-10,Swiggy order biryani,150.02,food,Swiggy
2025-12-11,Nandhana Palace dinner,380.47,food,Nandhana
2025-12-12,McDonald's Big Mac,310.46,food,McDonald's
2025-12-13,Local restaurant lunch,365.86,food,Local
2025-12-14,Metro Namma Bengaluru,285.83,transport,Metro
2025-12-15,Tea stall chai,388.19,food,Tea
2025-12-16,BigBasket monthly grocery,564.02,shopping,BigBasket
2025-12-17,McDonald's Big Mac,167.18,food,McDonald's
2025-12-18,BESCOM electricity bill,1637.13,bills,BESCOM
2025-12-19,Nandhana Palace dinner,289.49,food,Nandhana
2025-12-20,Netflix subscription,806.87,entertainment,Netflix
2025-12-21,Uber to office Koramangala,293.38,transport,Uber
2025-12-22,Shell petrol Whitefield,360.24,transport,Shell
2025-12-23,BWSSB water charges,2021.29,bills,BWSSB
2025-12-24,Myntra shoes delivery,863.04,shopping,Myntra
2025-12-25,BWSSB water charges,2232.51,bills,BWSSB
2025-12-26,Auto rickshaw Marathahalli,360.76,transport,Auto
2025-12-27,Auto rickshaw Marathahalli,259.81,transport,Auto
2025-12-28,BESCOM electricity bill,2094.89,bills,BESCOM
2025-12-29,Auto rickshaw Marathahalli,169.32,transport,Auto
2025-12-30,BigBasket monthly grocery,1307.87,shopping,BigBasket
,Breakfast,500.0,Food,
,Breakfast,500.0,Food,
,Uber to college,300.0,Transport,
,Uber to college,200.0,transport,
,petrol,500.0,transport,
,Uber Cab Ride,80.0,transport,
,Decathlon Purchase,500.0,shopping,
,Amazon Shopping,2000.0,shopping,
,Netflix Subscription,149.0,entertainment,
,Reliance Jio Recharge,249.0,bills,
,Amazon Shopping,2000.0,shopping,
,Starbucks Coffee,200.0,food,
,Decathlon Purchase,1000.0,shopping,
,Decathlon Purchase,500.0,shopping,
,Ola Bike Ride,80.0,transport,
,Fuel at Shell Petrol,1000.0,transport,
,Zomato Restaurant,600.0,food,
,PVR Cinema Ticket,200.0,entertainment,
,Zomato Restaurant,500.0,food,
,PVR Cinema Ticket,200.0,entertainment,
,PVR Cinema Ticket,300.0,entertainment,
,Ola Bike Ride,80.0,transport,
,Starbucks Coffee,250.0,food,
,Netflix Subscription,199.0,entertainment,
,Starbucks Coffee,250.0,food,
,Hotstar Subscription,99.0,entertainment,
,Ola Bike Ride,80.0,transport,
,Uber Cab Ride,80.0,transport,
,Fuel at Shell Petrol,1500.0,transport,
,Zomato Restaurant,300.0,food,
,Reliance Jio Recharge,599.0,bills,
,Zomato Restaurant,300.0,food,
,Netflix Subscription,149.0,entertainment,
,Uber Cab Ride,80.0,transport,
,BESCOM Electricity,1500.0,bills,
,Fuel at Shell Petrol,1500.0,transport,
,FedEx Courier,300.0,bills,
,Decathlon Purchase,1500.0,shopping,
,Amazon Shopping,1500.0,shopping,
,Netflix Subscription,199.0,entertainment,
,Fuel at Shell Petrol,2000.0,transport,
,FedEx Courier,100.0,bills,
,Swiggy Food Order,350.0,food,
,Zomato Restaurant,400.0,food,
,Fuel at Shell Petrol,500.0,transport,
,Decathlon Purchase,500.0,shopping,
,Uber Cab Ride,200.0,transport,
,Decathlon Purchase,1000.0,shopping,
,Flipkart Purchase,300.0,shopping,
,Ola Bike Ride,60.0,transport,
,Uber Cab Ride,120.0,transport,
,PVR Cinema Ticket,200.0,entertainment,
,PVR Cinema Ticket,200.0,entertainment,
,Reliance Jio Recharge,249.0,bills,
,Hotstar Subscription,299.0,entertainment,
,Uber Cab Ride,150.0,transport,
,BESCOM Electricity,2000.0,bills,
,Ola Bike Ride,100.0,transport,
,BESCOM Electricity,2500.0,bills,
,Netflix Subscription,199.0,entertainment,
,Flipkart Purchase,300.0,shopping,
,Uber Cab Ride,120.0,transport,
,Flipkart Purchase,1800.0,shopping,
,Swiggy Food Order,350.0,food,
,Swiggy Food Order,450.0,food,
,FedEx Courier,300.0,bills,
,Transfer from Friend,1000.0,income,
,FedEx Courier,200.0,bills,
,FedEx Courier,100.0,bills,
,FedEx Courier,200.0,bills,
,Reliance Jio Recharge,499.0,bills,
,Transfer from Friend,2000.0,income,
,FedEx Courier,100.0,bills,
,Transfer from Friend,2000.0,income,
,FedEx Courier,100.0,bills,
,Starbucks Coffee,250.0,food,
,Decathlon Purchase,1000.0,shopping,
,Fuel at Shell Petrol,2000.0,transport,
,Uber Cab Ride,200.0,transport,
,Freelance Project Payment,5000.0,income,
,Zomato Restaurant,300.0,food,
,Fuel at Shell Petrol,500.0,transport,
,Refund - Amazon,2000.0,income,
,FedEx Courier,300.0,bills,
,Netflix Subscription,199.0,entertainment,
,PVR Cinema Ticket,200.0,entertainment,
,Fuel at Shell Petrol,2000.0,transport,
,Reliance Jio Recharge,249.0,bills,
,Cashback Received,200.0,income,
,Starbucks Coffee,200.0,food,
,Hotstar Subscription,99.0,entertainment,
,Flipkart Purchase,300.0,shopping,
,Hotstar Subscription,99.0,entertainment,
,Starbucks Coffee,200.0,food,
,Cashback Received,100.0,income,
,Amazon Shopping,500.0,shopping,
,Interest Earned,50.0,income,
,Flipkart Purchase,1800.0,shopping,
,PVR Cinema Ticket,200.0,entertainment,
,Ola Bike Ride,80.0,transport,
,Netflix Subscription,199.0,entertainment,
,Reliance Jio Recharge,249.0,bills,
,FedEx Courier,200.0,bills,
,Interest Earned,50.0,income,
,Refund - Amazon,500.0,income,
,Ola Bike Ride,100.0,transport,
,PVR Cinema Ticket,250.0,entertainment,
,Netflix Subscription,149.0,entertainment,
,BESCOM Electricity,2000.0,bills,
,Bonus Payment,30000.0,income,
,Swiggy Food Order,350.0,food,
,Zomato Restaurant,600.0,food,
,Refund - Amazon,2000.0,income,
,Uber Cab Ride,120.0,transport,
,Reliance Jio Recharge,399.0,bills,
,Swiggy Food Order,550.0,food,
,Reliance Jio Recharge,399.0,bills,
,Starbucks Coffee,150.0,food,
,Freelance Project Payment,10000.0,income,
,Hotstar Subscription,299.0,entertainment,
,Flipkart Purchase,1800.0,shopping,
,Freelance Project Payment,15000.0,income,
,Interest Earned,200.0,income,
,Decathlon Purchase,500.0,shopping,
,Swiggy Food Order,550.0,food,
,Uber Cab Ride,120.0,transport,
,Starbucks Coffee,150.0,food,
,Amazon Shopping,1500.0,shopping,
,Flipkart Purchase,1200.0,shopping,
,Fuel at Shell Petrol,1500.0,transport,
,Swiggy Food Order,350.0,food,
,BESCOM Electricity,1500.0,bills,
,Refund - Amazon,2000.0,income,
,Interest Earned,50.0,income,
,Freelance Project Payment,15000.0,income,
,Transfer from Friend,5000.0,income,
,Flipkart Purchase,1800.0,shopping,
,Swiggy Food Order,350.0,food,
,Flipkart Purchase,300.0,shopping,
,Ola Bike Ride,80.0,transport,
,Uber Cab Ride,150.0,transport,
,Decathlon Purchase,1500.0,shopping,
,Ola Bike Ride,40.0,transport,
,Decathlon Purchase,1000.0,shopping,
,Swiggy Food Order,550.0,food,
,Reliance Jio Recharge,599.0,bills,
,FedEx Courier,100.0,bills,
,Reliance Jio Recharge,599.0,bills,
,Reliance Jio Recharge,399.0,bills,
,Cashback Received,500.0,income,
,FedEx Courier,100.0,bills,
,Zomato Restaurant,400.0,food,
,Netflix Subscription,149.0,entertainment,
,Fuel at Shell Petrol,500.0,transport,
,Decathlon Purchase,500.0,shopping,
,Bonus Payment,20000.0,income,
,Flipkart Purchase,1200.0,shopping,
,Swiggy Food Order,550.0,food,
,Reliance Jio Recharge,399.0,bills,
,Netflix Subscription,199.0,entertainment,
,BESCOM Electricity,2500.0,bills,
,Uber Cab Ride,120.0,transport,
,Swiggy Food Order,450.0,food,
,Uber Cab Ride,150.0,transport,
,Salary Deposit,60000.0,income,
,FedEx Courier,100.0,bills,
,PVR Cinema Ticket,250.0,entertainment,
,Uber Cab Ride,200.0,transport,
,Interest Earned,200.0,income,
,Netflix Subscription,499.0,entertainment,
,Reliance Jio Recharge,249.0,bills,
,Fuel at Shell Petrol,500.0,transport,
,Netflix Subscription,199.0,entertainment,
,FedEx Courier,300.0,bills,
,Starbucks Coffee,250.0,food,
,Swiggy Food Order,450.0,food,
,Amazon Shopping,1000.0,shopping,
,Flipkart Purchase,800.0,shopping,
,Salary Deposit,60000.0,income,
,Netflix Subscription,499.0,entertainment,
,Refund - Amazon,1000.0,income,
,Zomato Restaurant,400.0,food,
,Bonus Payment,20000.0,income,
,Ola Bike Ride,80.0,transport,
,Zomato Restaurant,500.0,food,
,Hotstar Subscription,99.0,entertainment,
,Refund - Amazon,1000.0,income,
,Uber Cab Ride,150.0,transport,
,Netflix Subscription,149.0,entertainment,
,Transfer from Friend,1000.0,income,
,Cashback Received,200.0,income,
,Refund - Amazon,2000.0,income,
,Amazon Shopping,1000.0,shopping,
,Decathlon Purchase,1500.0,shopping,
,Decathlon Purchase,1000.0,shopping,
,Amazon Shopping,1000.0,shopping,
,Swiggy Food Order,350.0,food,
,BESCOM Electricity,1500.0,bills,
,PVR Cinema Ticket,200.0,entertainment,
,Ola Bike Ride,100.0,transport,
,Netflix Subscription,499.0,entertainment,
,Amazon Shopping,1500.0,shopping,
,Fuel at Shell Petrol,500.0,transport,
,Bonus Payment,30000.0,income,
,Reliance Jio Recharge,599.0,bills,
,Decathlon Purchase,1500.0,shopping,
,Interest Earned,100.0,income,
,Amazon Shopping,2000.0,shopping,
,Freelance Project Payment,15000.0,income,
,Transfer from Friend,1000.0,income,
,Netflix Subscription,499.0,entertainment,
,Starbucks Coffee,250.0,food,
,Starbucks Coffee,250.0,food,
,Hotstar Subscription,99.0,entertainment,
,Flipkart Purchase,1200.0,shopping,
,BESCOM Electricity,2500.0,bills,
,Flipkart Purchase,1200.0,shopping,
,Flipkart Purchase,1200.0,shopping,
,Cashback / Refund,200.0,income,
,PVR Cinema Ticket,200.0,entertainment,
,Netflix Subscription,149.0,entertainment,
,Starbucks Coffee,200.0,food,
,Decathlon Purchase,1000.0,shopping,
,Netflix Subscription,149.0,entertainment,
,Hotstar Subscription,99.0,entertainment,
,Decathlon Purchase,1000.0,shopping,
,BESCOM Electricity,2000.0,bills,
,Amazon Shopping,1000.0,shopping,
,PVR Cinema Ticket,200.0,entertainment,
,Swiggy Food Order,450.0,food,
,FedEx Courier,200.0,bills,
,Uber Cab Ride,200.0,transport,
,Ola Bike Ride,60.0,transport,
,PVR Cinema Ticket,200.0,entertainment,
,Amazon Shopping,2000.0,shopping,
,Ola Bike Ride,40.0,transport,
,Hotstar Subscription,99.0,entertainment,
,Cashback / Refund,500.0,income,
,Flipkart Purchase,300.0,shopping,
,Swiggy Food Order,450.0,food,
,Reliance Jio Recharge,399.0,bills,
,Reliance Jio Recharge,499.0,bills,
,shirt,500.0,shopping,
,pen,10.0,other,
,Ola Bike Ride,60.0,transport,
,Flipkart Purchase,1800.0,shopping,
,BESCOM Electricity,2000.0,bills,
,Reliance Jio Recharge,399.0,bills,
,Ola Bike Ride,60.0,transport,
,Uber Cab Ride,200.0,transport,
,Uber Cab Ride,150.0,transport,
,Amazon Shopping,1000.0,shopping,
,FedEx Courier,300.0,bills,
,Swiggy Food Order,450.0,food,
,shirt,600.0,shopping,
